ردیف,نام منبع,نوع,بخش صفحه,زیربخش,آدرس وب‌سایت,آدرس RSS/Atom,وضعیت فید,توضیح صفحه,یادداشت اعتبارسنجی
1,Reuters,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://www.reuters.com/,,فید عمومی معتبر یافت نشد,خبرگزاری جهانی؛ سیاست، اقتصاد و بازارها.,فید عمومی رسمی/پایدار در منابع در دسترس شناسایی نشد؛ ممکن است خبرنامه، API یا فید اشتراکی ارائه شود.
2,Associated Press (AP),خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://apnews.com/,,فید عمومی معتبر یافت نشد,خبرگزاری تعاونی آمریکا با پوشش جهانی.,فید عمومی رسمی/پایدار در منابع در دسترس شناسایی نشد؛ ممکن است خبرنامه، API یا فید اشتراکی ارائه شود.
3,Agence France-Presse (AFP),خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://www.afp.com/,,فید عمومی معتبر یافت نشد,خبرگزاری جهانی فرانسه.,فید عمومی رسمی/پایدار در منابع در دسترس شناسایی نشد؛ ممکن است خبرنامه، API یا فید اشتراکی ارائه شود.
4,Bloomberg,رسانه/منبع تحلیلی یا پژوهشی,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://www.bloomberg.com/,,فید عمومی معتبر یافت نشد,خبر و داده مالی، اقتصادی و سیاسی.,فید عمومی رسمی/پایدار در منابع در دسترس شناسایی نشد؛ ممکن است خبرنامه، API یا فید اشتراکی ارائه شود.
5,EFE,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://efe.com/,https://efe.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری اسپانیا و جهان اسپانیایی‌زبان.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
6,dpa,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://www.dpa.com/,https://dpa.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری آلمان.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
7,ANSA,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://www.ansa.it/english/,https://ansa.it/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری ایتالیا.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
8,Kyodo News,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://english.kyodonews.net/,https://english.kyodonews.net/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری ژاپن.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
9,Jiji Press,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://www.jiji.com/,https://jiji.com/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری ژاپن.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
10,Yonhap,خبرگزاری,۱) خبرگزاری‌های مرجع و شبکه‌های بین‌المللی,خبرگزاری‌ها,https://en.yna.co.kr/,https://en.yna.co.kr/feed/,نامزد متداول / نیازمند راستی‌آزمایی,خبرگزاری کرهٔ جنوبی.,به‌علت نبود دسترسی شبکه در زمان تهیه، endpoint متداول /feed/ پیشنهاد شده و باید پیش از استفاده آزمایش شود.
